,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-11-01,83.36000061035156,84.87999725341797,82.73999786376953,84.05000305175781,84.05000305175781,412309
1,2021-11-02,83.87000274658203,84.41000366210938,82.91999816894531,83.91000366210938,83.91000366210938,429608
2,2021-11-03,83.06999969482422,83.08000183105469,79.69000244140625,80.86000061035156,80.86000061035156,546577
3,2021-11-04,80.18000030517578,83.41999816894531,78.25,78.80999755859375,78.80999755859375,701119
4,2021-11-05,79.37000274658203,81.80000305175781,78.95999908447266,81.2699966430664,81.2699966430664,531054
5,2021-11-08,81.12999725341797,82.66999816894531,81.05000305175781,81.93000030517578,81.93000030517578,393953
6,2021-11-09,82.16000366210938,84.62999725341797,81.77999877929688,84.1500015258789,84.1500015258789,504832
7,2021-11-10,84.52999877929688,84.97000122070312,80.80999755859375,81.33999633789062,81.33999633789062,555215
8,2021-11-11,81.41000366210938,82.33000183105469,80.19999694824219,81.58999633789062,81.58999633789062,475436
9,2021-11-12,81.20999908447266,81.62000274658203,79.77999877929688,80.79000091552734,80.79000091552734,390304
10,2021-11-15,80.66000366210938,81.19999694824219,79.30000305175781,80.87999725341797,80.87999725341797,343484
11,2021-11-16,80.93000030517578,81.80999755859375,80.02999877929688,80.76000213623047,80.76000213623047,325668
12,2021-11-17,80.54000091552734,80.69000244140625,77.69000244140625,78.36000061035156,78.36000061035156,174471
13,2021-11-18,78.33999633789062,79.36000061035156,77.08000183105469,79.01000213623047,79.01000213623047,83984
14,2021-11-19,78.76000213623047,79.91999816894531,75.37000274658203,76.0999984741211,76.0999984741211,623448
15,2021-11-22,75.75,77.16000366210938,74.76000213623047,76.75,76.75,465768
16,2021-11-23,76.45999908447266,78.86000061035156,75.30000305175781,78.5,78.5,506987
17,2021-11-24,78.4800033569336,79.2300033569336,77.9800033569336,78.38999938964844,78.38999938964844,328848
18,2021-11-25,78.33999633789062,78.6500015258789,77.76000213623047,78.02999877929688,78.02999877929688,328848
19,2021-11-26,78.33999633789062,78.6500015258789,67.4000015258789,68.1500015258789,68.1500015258789,844630
20,2021-11-29,69.2300033569336,72.93000030517578,68.86000061035156,69.94999694824219,69.94999694824219,675090
21,2021-11-30,70.04000091552734,71.22000122070312,64.43000030517578,66.18000030517578,66.18000030517578,722475
22,2021-12-01,67.01000213623047,69.48999786376953,64.83999633789062,65.56999969482422,65.56999969482422,602447
